City,CityID,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
Portland,5746545,US,45.52,-122.68,48.2,87,90,8.05
Kodiak,5866583,US,57.79,-152.41,21.2,79,90,16.11
Mwinilunga,902620,ZM,-11.74,24.43,65.59,94,94,3.65
Port Macquarie,2152659,AU,-31.43,152.92,75.0,94,40,5.82
Port-Gentil,2396518,GA,-0.72,8.78,84.2,89,20,4.7
Rikitea,4030556,PF,-23.12,-134.97,79.63,78,91,9.08
Longyearbyen,2729907,SJ,78.22,15.64,17.6,61,75,16.11
Baiyin,1817240,CN,36.56,104.21,30.99,51,0,6.71
Pevek,2122090,RU,69.7,170.31,-18.18,98,100,10.2
Yellowknife,6185377,CA,62.46,-114.35,1.4,84,90,16.11
Bluff,2206939,NZ,-46.6,168.33,51.01,75,66,3.0
Mabaruma,3377301,GY,8.2,-59.78,81.07,87,94,4.99
Busselton,2075265,AU,-33.65,115.33,64.99,60,80,8.72
Vila Velha,3445026,BR,-20.33,-40.29,87.8,70,40,17.22
Kavieng,2094342,PG,-2.57,150.8,83.68,78,78,7.52
North Bend,5742974,US,43.41,-124.22,51.8,87,90,8.05
Albany,5106841,US,42.6,-73.97,36.0,43,20,9.17
Qaanaaq,3831208,GL,77.48,-69.36,-20.52,96,100,3.27
Korla,1529376,CN,41.76,86.15,30.99,79,0,1.36
Ahipara,2194098,NZ,-35.17,173.17,64.0,100,24,8.1
Kashan,128477,IR,33.98,51.44,44.58,50,100,1.52
Inhambane,1045114,MZ,-23.86,35.38,77.0,69,0,12.62
Rio Pardo de Minas,3451100,BR,-15.61,-42.54,79.12,70,99,5.03
Mataura,6201424,NZ,-46.19,168.86,51.01,75,3,3.0
La Mata,3707249,PA,8.08,-80.88,86.41,63,76,8.81
Atlantic City,4500546,US,39.36,-74.42,44.6,39,1,13.87
Laiya,1707977,PH,13.68,121.39,77.34,80,96,13.89
Ushuaia,3833367,AR,-54.8,-68.3,51.8,66,75,23.04
Seymchan,2121373,RU,62.88,152.43,-29.79,100,31,2.28
Peniche,2264923,PT,39.36,-9.38,59.0,87,40,8.05
Pochutla,3517970,MX,15.74,-96.47,82.4,69,40,13.87
Terrace,6162949,CA,54.52,-128.6,35.6,93,75,23.04
Faanui,4034551,PF,-16.48,-151.75,81.64,77,98,7.45
Arraial do Cabo,3471451,BR,-22.97,-42.03,87.8,70,40,11.41
Thompson,6165406,CA,55.74,-97.86,12.2,85,90,8.05
Mahebourg,934322,MU,-20.41,57.7,75.2,83,40,2.24
Tuktoyaktuk,6170031,CA,69.45,-133.04,-27.4,67,75,7.56
Guerrero Negro,4021858,MX,27.98,-114.06,63.88,65,0,16.35
Coyhaique,3894426,CL,-45.58,-72.07,59.0,44,20,12.75
Hobart,2163355,AU,-42.88,147.33,75.0,33,0,18.34
Cherskiy,2126199,RU,68.75,161.3,-27.4,97,100,4.18
Port Alfred,964432,ZA,-33.59,26.89,69.01,85,71,1.01
Valparaiso,3868626,CL,-33.04,-71.63,68.0,68,0,9.17
George Town,1735106,MY,5.41,100.34,82.0,94,40,3.36
Kapaa,5848280,US,22.08,-159.32,66.2,88,1,6.93
Butaritari,2110227,KI,3.07,172.79,82.6,73,92,2.48
Callaway,4149635,US,30.15,-85.57,52.0,87,90,17.22
East London,1006984,ZA,-33.02,27.91,69.8,94,75,5.82
Maragogi,3395458,BR,-9.01,-35.22,82.35,66,0,9.06
Poum,2138555,NC,-20.23,164.02,78.19,77,36,17.87
Zhangjiakou,2033196,CN,40.81,114.88,11.88,76,2,6.04
Mainaguri,1264301,IN,26.57,88.82,63.19,63,30,5.28
North Platte,5697939,US,41.12,-100.77,36.0,80,1,7.96
Ouesso,2255564,CG,1.61,16.05,82.08,27,100,1.01
Siaya,383388,KE,0.06,34.29,73.4,83,75,4.7
Carnarvon,2074865,AU,-24.87,113.63,73.4,78,90,17.22
Dunedin,2191562,NZ,-45.87,170.5,52.0,70,17,5.01
Kawerau,2188942,NZ,-38.1,176.7,68.0,92,1,2.17
Hithadhoo,1282256,MV,-0.6,73.08,81.99,76,100,8.81
Barrow,5880054,US,71.29,-156.79,-25.6,67,1,9.17
Tiksi,2015306,RU,71.69,128.87,-13.74,93,100,3.76
Turbiv,690985,UA,49.35,28.72,33.8,86,100,13.42
Fort Nelson,5955902,CA,58.81,-122.7,5.0,84,90,4.41
Stowe,5214449,US,40.25,-75.68,43.0,44,1,11.41
Ajdabiya,89113,LY,30.76,20.23,61.84,60,0,7.38
Kavaratti,1267390,IN,10.57,72.64,81.68,64,79,6.51
Kedrovyy,1538641,RU,56.17,91.82,12.2,72,75,11.18
Hasaki,2112802,JP,35.73,140.83,48.2,87,75,5.82
Mandalgovi,2030065,MN,45.76,106.27,4.3,87,0,6.53
Luena,3347719,AO,-11.78,19.92,63.28,94,50,6.04
Pangody,1495626,RU,65.85,74.49,-5.55,95,98,14.29
Lebu,3883457,CL,-37.62,-73.65,66.52,37,5,11.3
Sistranda,3139597,NO,63.73,8.83,35.6,74,75,19.46
Avera,4231997,US,33.19,-82.53,53.6,76,75,4.63
Punta Arenas,3874787,CL,-53.15,-70.92,53.6,54,75,23.04
San Policarpo,1688696,PH,12.18,125.51,75.83,85,83,4.61
Bengkulu,1649150,ID,-3.8,102.27,73.65,73,100,3.24
Nara,1855612,JP,34.69,135.8,46.4,75,20,13.87
Sittwe,1295765,MM,20.15,92.9,70.81,59,0,5.59
Tyshkivka,691510,UA,48.5,30.94,35.42,93,100,20.69
Tasiilaq,3424607,GL,65.61,-37.64,28.4,74,100,36.91
Odesskoye,1496380,RU,54.21,72.97,-16.29,97,0,5.06
Puerto Escondido,3520994,MX,15.85,-97.07,82.4,69,20,6.93
Bac Lieu,1591474,VN,9.29,105.72,71.87,94,56,3.44
Oktyabrskoye,515805,RU,43.06,44.74,32.0,78,90,2.24
Mossamedes,3347019,AO,-15.2,12.15,76.55,77,53,9.57
Hilo,5855927,US,19.73,-155.09,70.0,83,90,8.05
Margate,2643044,GB,51.38,1.39,46.4,81,63,10.29
Guiratinga,3461733,BR,-16.35,-53.76,78.31,81,100,7.81
Nadezhda,523715,RU,44.1,44.6,37.27,89,100,1.92
New Norfolk,2155415,AU,-42.78,147.06,75.0,35,0,17.22
Ponta do Sol,2264557,PT,32.67,-17.1,64.4,72,20,11.41
Romitan,1217662,UZ,39.93,64.38,35.6,65,0,4.7
Ichinohe,2129961,JP,40.21,141.3,39.2,93,90,23.04
Babushkin,2027276,RU,51.71,105.86,7.02,85,0,4.05
